State,Per Capita Income,Mortality Rate,GDP,Birth rate,Life Expectancy,Population (2024),Literacy Rate,Economic_Score
Andaman and Nicobar Islands,229080.0,5.8,103705.2,1.3,73.31,380000.0,86.63,111496.29769999998
 Andhra Pradesh                ,192587.0,4.5,11338365.0,1.7,70.6,53402000.0,66.4,9562036.552
 Arunachal Pradesh             ,205645.0,5.7,351235.4,1.8,69.87,1380000.0,66.95,311952.83770000003
 Assam                         ,118504.0,6.2,4126118.7,1.9,67.9,36159000.0,85.9,3987286.4760000003
Bihar                         ,47498.0,5.4,6503024.3,3.0,69.5,129205000.0,70.9,8433977.889
Chandigarh                    ,333932.0,3.9,456352.6,1.4,68.7,1231000.0,86.43,396461.6655999999
Chhattisgarh,120704.0,6.3,4064158.2,1.8,65.1,30638000.0,77.3,3778547.0659999996
Delhi,389529.0,3.6,9046420.4,1.6,75.8,22400000.0,88.7,7051251.110000001
Goa,472070.0,6.3,826037.0,1.3,72.59,1530000.0,88.7,680787.5938999999
Gujarat,241930.0,5.6,19770664.6,1.9,70.5,72653000.0,82.4,16048099.338000001
Haryana,264835.0,6.1,8706645.3,1.9,69.9,30694000.0,80.4,7047264.177
Himachal Pradesh,201271.0,6.8,1762694.7,1.7,73.5,7468000.0,83.78,1482091.5136
Jammu and Kashmir,120790.0,4.6,1999174.2,1.4,74.3,13603000.0,67.16,1822017.4822
Jharkhand,84059.0,5.2,3588625.9,2.3,69.6,40129000.0,74.3,3726006.747
Karnataka,265623.0,6.2,19627254.2,1.7,69.8,68256000.0,77.2,15818644.582999999
Kerala,233855.0,7.0,9324699.6,1.8,75.0,35967000.0,96.2,7634376.525999999
Madhya Pradesh,121594.0,6.5,11361371.9,2.0,67.4,87954000.0,73.7,10606183.043000001
Maharashtra,215223.0,5.5,31080218.7,1.7,72.9,127684000.0,84.8,25612512.683
Manipur,91560.0,4.3,365944.7,2.2,70.87,3223000.0,79.85,363850.7157
Meghalaya,98572.0,5.3,387847.0,2.9,68.93,3349000.0,75.48,383803.2049
Mizoram,198562.0,4.2,278235.0,1.9,67.15,1238000.0,91.58,255745.5401
Nagaland,125887.0,3.7,319125.4,1.7,69.84,2233000.0,79.55,305496.41039999994
Odisha,128181.0,7.3,6708812.3,1.8,70.3,46663000.0,77.3,6111452.2179999985
Puducherry,251344.0,6.5,442378.6,1.5,71.6,1646000.0,85.85,389219.23799999995
Punjab,168705.0,7.2,6142267.6,1.6,72.5,30992000.0,83.7,5249604.600999999
Rajasthan,135962.0,5.6,12181934.5,2.0,69.4,82188000.0,69.7,11009320.572
Sikkim,472543.0,4.1,375574.0,1.1,71.04,61610000.0,82.2,2167919.4824
Tamil Nadu,242253.0,6.1,20712861.6,1.8,73.2,77165000.0,82.9,16843036.081
Telangana,270839.0,6.0,11289072.4,1.8,70.0,38317000.0,72.8,9084372.717999998
Tripura,137472.0,5.7,625504.4,1.7,68.9,4147000.0,87.75,578772.865
Uttar Pradesh,73048.0,6.5,19745315.5,2.4,66.0,238875000.0,73.0,20996747.941
Uttarakhand,211657.0,6.3,2721594.8,1.9,70.6,11637000.0,79.63,2279637.3795999996
West Bengal,124798.0,5.5,13639258.6,1.6,72.3,99723000.0,80.5,12554159.091999998
